Raw Gaze R,Raw Gaze L,Gaze Mid X,Gaze Mid Y,Time
|Point2d(x=0.019944, y=0.037484)|,|Point2d(x=0.039109, y=0.108898)|,0.029526173137128353,0.0731909777969122,1580609977.167515
|Point2d(x=0.028761, y=0.046271)|,|Point2d(x=0.038854, y=0.115141)|,0.033807285130023956,0.08070608228445053,1580609977.179131
|Point2d(x=0.028755, y=0.041809)|,|Point2d(x=0.037526, y=0.115695)|,0.03314053453505039,0.07875197567045689,1580609977.190248
|Point2d(x=0.027470, y=0.045236)|,|Point2d(x=0.036842, y=0.111741)|,0.03215609584003687,0.07848864421248436,1580609977.200638
|Point2d(x=0.014917, y=0.027938)|,|Point2d(x=0.032077, y=0.107842)|,0.0234967521391809,0.06788980774581432,1580609977.212254
|Point2d(x=0.012456, y=0.039071)|,|Point2d(x=0.044375, y=0.108537)|,0.0284151048399508,0.07380426488816738,1580609977.223657
|Point2d(x=0.016312, y=0.037482)|,|Point2d(x=0.042639, y=0.112939)|,0.029475444927811623,0.07521048374474049,1580609977.234238
|Point2d(x=0.025659, y=0.034329)|,|Point2d(x=0.047164, y=0.113646)|,0.03641144186258316,0.07398752123117447,1580609977.245951
|Point2d(x=0.022458, y=0.031901)|,|Point2d(x=0.041395, y=0.114560)|,0.03192649781703949,0.07323067635297775,1580609977.25689
|Point2d(x=0.017783, y=0.029438)|,|Point2d(x=0.040262, y=0.113014)|,0.029022500850260258,0.07122608087956905,1580609977.267411
|Point2d(x=0.018380, y=0.033473)|,|Point2d(x=0.040520, y=0.114807)|,0.02945027593523264,0.07413986697793007,1580609977.279063
|Point2d(x=0.016210, y=0.041308)|,|Point2d(x=0.044964, y=0.114184)|,0.03058732021600008,0.07774598337709904,1580609977.290154
|Point2d(x=0.016967, y=0.043336)|,|Point2d(x=0.045611, y=0.115002)|,0.03128920681774616,0.07916911132633686,1580609977.300585
|Point2d(x=0.015795, y=0.045657)|,|Point2d(x=0.045316, y=0.113589)|,0.030555487610399723,0.07962285540997982,1580609977.312464
|Point2d(x=0.019126, y=0.037651)|,|Point2d(x=0.032901, y=0.103036)|,0.026013333350419998,0.0703432485461235,1580609977.323591
|Point2d(x=0.018621, y=0.037163)|,|Point2d(x=0.032893, y=0.101861)|,0.025757058523595333,0.06951193511486053,1580609977.333796
|Point2d(x=0.017380, y=0.024399)|,|Point2d(x=0.030060, y=0.098189)|,0.023719915188848972,0.0612940639257431,1580609977.345455
|Point2d(x=0.017191, y=0.024006)|,|Point2d(x=0.034511, y=0.102745)|,0.025851155631244183,0.06337548699229956,1580609977.356543
|Point2d(x=0.018912, y=0.017768)|,|Point2d(x=0.035225, y=0.102187)|,0.02706858515739441,0.05997759848833084,1580609977.367325
|Point2d(x=0.017621, y=0.020830)|,|Point2d(x=0.041633, y=0.102274)|,0.029626757837831974,0.061552067287266254,1580609977.37886
|Point2d(x=0.021412, y=0.012552)|,|Point2d(x=0.042495, y=0.104663)|,0.031953198835253716,0.058607797138392925,1580609977.39012
|Point2d(x=0.024035, y=0.019023)|,|Point2d(x=0.040582, y=0.105939)|,0.03230854123830795,0.06248085107654333,1580609977.400204
|Point2d(x=0.026505, y=0.020117)|,|Point2d(x=0.035143, y=0.110937)|,0.030824308283627033,0.06552725285291672,1580609977.412635
|Point2d(x=0.023974, y=0.021244)|,|Point2d(x=0.035005, y=0.104910)|,0.02948953676968813,0.06307703349739313,1580609977.423374
|Point2d(x=0.025305, y=0.018496)|,|Point2d(x=0.035567, y=0.104084)|,0.03043596912175417,0.061289855279028416,1580609977.433976
|Point2d(x=0.020660, y=0.014521)|,|Point2d(x=0.035773, y=0.100985)|,0.028216169215738773,0.05775304324924946,1580609977.445684
|Point2d(x=0.019650, y=0.013928)|,|Point2d(x=0.039005, y=0.110379)|,0.02932711783796549,0.06215362157672644,1580609977.456876
|Point2d(x=0.018461, y=0.015237)|,|Point2d(x=0.038732, y=0.104703)|,0.0285963648930192,0.059970066882669926,1580609977.467282
|Point2d(x=0.015949, y=0.011140)|,|Point2d(x=0.039113, y=0.105125)|,0.02753122802823782,0.05813217116519809,1580609977.478685
|Point2d(x=0.010072, y=0.008617)|,|Point2d(x=0.035472, y=0.098967)|,0.02277175383642316,0.05379180517047644,1580609977.489906
|Point2d(x=0.009031, y=0.005858)|,|Point2d(x=0.034361, y=0.104962)|,0.021695858798921108,0.055409858003258705,1580609977.500356
|Point2d(x=0.009460, y=0.014710)|,|Point2d(x=0.032650, y=0.103938)|,0.021055059507489204,0.05932445637881756,1580609977.51232
|Point2d(x=0.015273, y=0.023563)|,|Point2d(x=0.042486, y=0.102771)|,0.028879302088171244,0.06316678319126368,1580609977.523274
|Point2d(x=0.015997, y=0.025015)|,|Point2d(x=0.043479, y=0.101216)|,0.02973802760243416,0.06311566848307848,1580609977.533653
|Point2d(x=0.023645, y=0.022676)|,|Point2d(x=0.045243, y=0.104496)|,0.0344442306086421,0.06358625926077366,1580609977.545237
|Point2d(x=0.018975, y=0.015258)|,|Point2d(x=0.041626, y=0.107350)|,0.030300299637019634,0.06130393920466304,1580609977.556355
|Point2d(x=0.016063, y=0.013027)|,|Point2d(x=0.042782, y=0.102646)|,0.029422523453831673,0.05783653911203146,1580609977.567075
|Point2d(x=0.011807, y=0.013390)|,|Point2d(x=0.045881, y=0.096637)|,0.028844150714576244,0.05501350946724415,1580609977.578684
|Point2d(x=0.016379, y=0.014568)|,|Point2d(x=0.044165, y=0.097205)|,0.03027190361171961,0.055886796209961176,1580609977.589953
|Point2d(x=0.015829, y=0.007681)|,|Point2d(x=0.043111, y=0.103970)|,0.029469863511621952,0.05582549492828548,1580609977.600348
|Point2d(x=0.008048, y=0.007669)|,|Point2d(x=0.042938, y=0.105445)|,0.025492928456515074,0.05655669840052724,1580609977.611896
|Point2d(x=0.010010, y=0.006309)|,|Point2d(x=0.038584, y=0.106141)|,0.02429690258577466,0.056224937783554196,1580609977.623104
|Point2d(x=0.010753, y=0.014074)|,|Point2d(x=0.037985, y=0.104587)|,0.02436865633353591,0.05933040101081133,1580609977.633311
|Point2d(x=0.018412, y=0.016978)|,|Point2d(x=0.035098, y=0.108102)|,0.02675493061542511,0.06254005245864391,1580609977.645325
|Point2d(x=0.013304, y=0.016627)|,|Point2d(x=0.028319, y=0.111390)|,0.020811120979487896,0.06400847993791103,1580609977.656469
|Point2d(x=0.011221, y=0.017952)|,|Point2d(x=0.028329, y=0.107573)|,0.01977531798183918,0.06276229210197926,1580609977.666903
|Point2d(x=0.005950, y=-0.000813)|,|Point2d(x=0.029670, y=0.105244)|,0.017810225719586015,0.05221518632606603,1580609977.678562
|Point2d(x=0.028023, y=0.001810)|,|Point2d(x=0.065729, y=0.081681)|,0.04687589593231678,0.04174569674069062,1580609977.689754
|Point2d(x=0.084845, y=-0.002864)|,|Point2d(x=0.117608, y=0.062676)|,0.10122641175985336,0.0299060643883422,1580609977.699994
|Point2d(x=0.125077, y=0.003681)|,|Point2d(x=0.131263, y=0.061189)|,0.12817011028528214,0.03243479528464377,1580609977.711804
|Point2d(x=0.142441, y=0.000749)|,|Point2d(x=0.154903, y=0.074989)|,0.1486722081899643,0.03786911882343702,1580609977.723294
|Point2d(x=0.143264, y=0.008386)|,|Point2d(x=0.155609, y=0.082987)|,0.14943666011095047,0.045686323661357164,1580609977.733713
|Point2d(x=0.149214, y=0.012516)|,|Point2d(x=0.159610, y=0.080523)|,0.15441206097602844,0.04651935398578644,1580609977.745327
|Point2d(x=0.146449, y=0.011164)|,|Point2d(x=0.155298, y=0.071955)|,0.15087351202964783,0.041559355799108744,1580609977.75652
|Point2d(x=0.145305, y=0.006073)|,|Point2d(x=0.153808, y=0.071585)|,0.14955660700798035,0.03882893337868154,1580609977.766999
|Point2d(x=0.136964, y=0.004479)|,|Point2d(x=0.152937, y=0.076108)|,0.14495068043470383,0.04029322392307222,1580609977.778472
|Point2d(x=0.137323, y=0.010861)|,|Point2d(x=0.156922, y=0.078990)|,0.14712241291999817,0.044925406109541655,1580609977.789975
|Point2d(x=0.137569, y=0.013993)|,|Point2d(x=0.160910, y=0.078611)|,0.1492398902773857,0.046301760245114565,1580609977.800221
|Point2d(x=0.143362, y=0.021030)|,|Point2d(x=0.162852, y=0.075359)|,0.15310685336589813,0.04819431807845831,1580609977.812199
|Point2d(x=0.148555, y=0.019648)|,|Point2d(x=0.161630, y=0.074683)|,0.15509279817342758,0.04716532025486231,1580609977.823269
|Point2d(x=0.146384, y=0.021873)|,|Point2d(x=0.158579, y=0.075792)|,0.15248119086027145,0.04883277416229248,1580609977.833828
|Point2d(x=0.148541, y=0.008048)|,|Point2d(x=0.161861, y=0.073918)|,0.1552009880542755,0.040982719510793686,1580609977.845389
|Point2d(x=0.148497, y=0.006699)|,|Point2d(x=0.161506, y=0.077221)|,0.15500151365995407,0.04196005850099027,1580609977.856602
|Point2d(x=0.149014, y=0.005363)|,|Point2d(x=0.163041, y=0.075756)|,0.1560276448726654,0.040559072280302644,1580609977.866802
|Point2d(x=0.147862, y=0.020477)|,|Point2d(x=0.159211, y=0.080696)|,0.1535366028547287,0.05058607365936041,1580609977.878797
